W0119 19:00:42.120903  2362 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0119 19:00:42.126507  2362 device_context.cc:465] device: 0, cuDNN Version: 7.6.
loading weight from ./resnet18-f37072fd.h5
loading weight from ./resnet18-f37072fd.h5
Training model named:
   mono+stereo_model
Models and tensorboard events files are saved to:
   /root/paddlejob/workspace/output/
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/h5py/__init__.py:36: DeprecationWarning: `np.typeDict` is a deprecated alias for `np.sctypeDict`.
  from ._conv import register_converters as _register_converters
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/paddle/nn/layer/conv.py:77: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  } and not isinstance(padding, np.int):
Using split:
   eigen_zhou
There are 39810 training items and 4424 validation items

Training
epoch   0 | batch    100 | examples/s:  13.3 | loss: 0.13573 | time elapsed: 00h01m30s | time left: 16h46m08s
epoch   1 | batch   1400 | examples/s:  14.5 | loss: 0.09132 | time elapsed: 01h07m03s | time left: 14h36m14s
epoch   1 | batch   1500 | examples/s:  14.5 | loss: 0.09110 | time elapsed: 01h08m26s | time left: 14h34m15s
epoch   1 | batch   1600 | examples/s:  14.5 | loss: 0.09096 | time elapsed: 01h09m48s | time left: 14h32m17s
epoch   1 | batch   1700 | examples/s:  14.5 | loss: 0.09079 | time elapsed: 01h11m11s | time left: 14h30m21s
epoch   1 | batch   1800 | examples/s:  14.5 | loss: 0.09074 | time elapsed: 01h12m34s | time left: 14h28m27s
epoch   1 | batch   1900 | examples/s:  14.5 | loss: 0.09072 | time elapsed: 01h13m56s | time left: 14h26m34s
epoch   1 | batch   2000 | examples/s:  14.5 | loss: 0.09067 | time elapsed: 01h15m19s | time left: 14h24m42s
epoch   1 | batch   2100 | examples/s:  14.5 | loss: 0.09068 | time elapsed: 01h16m42s | time left: 14h22m52s
epoch   1 | batch   2200 | examples/s:  14.5 | loss: 0.09063 | time elapsed: 01h18m05s | time left: 14h21m04s
epoch   1 | batch   2300 | examples/s:  14.5 | loss: 0.09053 | time elapsed: 01h19m28s | time left: 14h19m17s
epoch   1 | batch   2400 | examples/s:  14.5 | loss: 0.09047 | time elapsed: 01h20m51s | time left: 14h17m31s
epoch   1 | batch   2500 | examples/s:  14.5 | loss: 0.09034 | time elapsed: 01h22m13s | time left: 14h15m45s
epoch   1 | batch   2600 | examples/s:  14.5 | loss: 0.09026 | time elapsed: 01h23m36s | time left: 14h13m58s
epoch   1 | batch   2700 | examples/s:  14.5 | loss: 0.09018 | time elapsed: 01h24m59s | time left: 14h12m14s
epoch   1 | batch   2800 | examples/s:  14.5 | loss: 0.09016 | time elapsed: 01h26m22s | time left: 14h10m29s
epoch   1 | batch   2900 | examples/s:  14.5 | loss: 0.09009 | time elapsed: 01h27m44s | time left: 14h08m43s
epoch   1 | batch   3000 | examples/s:  14.5 | loss: 0.09000 | time elapsed: 01h29m07s | time left: 14h06m59s
epoch   1 | batch   3100 | examples/s:  14.6 | loss: 0.08996 | time elapsed: 01h30m29s | time left: 14h05m12s
epoch   1 | batch   3200 | examples/s:  14.5 | loss: 0.08991 | time elapsed: 01h31m52s | time left: 14h03m27s
epoch   1 | batch   3300 | examples/s:  14.5 | loss: 0.08984 | time elapsed: 01h33m14s | time left: 14h01m45s
Validating
In epoch 1, the validation loss is 0.08727704729560924.
Training
epoch   2 | batch    100 | examples/s:  13.6 | loss: 0.08696 | time elapsed: 01h36m44s | time left: 14h16m28s
epoch   2 | batch    200 | examples/s:  14.5 | loss: 0.08733 | time elapsed: 01h38m07s | time left: 14h14m30s
epoch   2 | batch    300 | examples/s:  14.5 | loss: 0.08698 | time elapsed: 01h39m29s | time left: 14h12m33s
epoch   2 | batch    400 | examples/s:  14.5 | loss: 0.08658 | time elapsed: 01h40m52s | time left: 14h10m36s
epoch   2 | batch    500 | examples/s:  14.5 | loss: 0.08641 | time elapsed: 01h42m14s | time left: 14h08m42s
epoch   2 | batch    600 | examples/s:  14.5 | loss: 0.08654 | time elapsed: 01h43m37s | time left: 14h06m49s
epoch   2 | batch    700 | examples/s:  14.5 | loss: 0.08667 | time elapsed: 01h45m00s | time left: 14h04m57s
epoch   2 | batch    800 | examples/s:  14.5 | loss: 0.08660 | time elapsed: 01h46m22s | time left: 14h03m05s
epoch   2 | batch    900 | examples/s:  14.5 | loss: 0.08669 | time elapsed: 01h47m45s | time left: 14h01m14s
epoch   2 | batch   1000 | examples/s:  14.5 | loss: 0.08667 | time elapsed: 01h49m08s | time left: 13h59m25s
epoch   2 | batch   1100 | examples/s:  14.5 | loss: 0.08658 | time elapsed: 01h50m31s | time left: 13h57m37s
epoch   2 | batch   1200 | examples/s:  14.5 | loss: 0.08642 | time elapsed: 01h51m54s | time left: 13h55m49s
epoch   2 | batch   1300 | examples/s:  14.5 | loss: 0.08636 | time elapsed: 01h53m16s | time left: 13h54m03s
epoch   2 | batch   1400 | examples/s:  14.5 | loss: 0.08628 | time elapsed: 01h54m39s | time left: 13h52m17s
epoch   2 | batch   1500 | examples/s:  14.5 | loss: 0.08627 | time elapsed: 01h56m02s | time left: 13h50m30s
epoch   2 | batch   1600 | examples/s:  14.5 | loss: 0.08623 | time elapsed: 01h57m25s | time left: 13h48m44s
epoch   2 | batch   1700 | examples/s:  14.5 | loss: 0.08607 | time elapsed: 01h58m48s | time left: 13h47m00s
epoch   2 | batch   1800 | examples/s:  14.5 | loss: 0.08613 | time elapsed: 02h00m11s | time left: 13h45m16s
epoch   2 | batch   1900 | examples/s:  14.5 | loss: 0.08609 | time elapsed: 02h01m33s | time left: 13h43m32s
epoch   2 | batch   2000 | examples/s:  14.5 | loss: 0.08602 | time elapsed: 02h02m56s | time left: 13h41m49s
epoch   2 | batch   2100 | examples/s:  14.5 | loss: 0.08599 | time elapsed: 02h04m19s | time left: 13h40m05s
epoch   2 | batch   2200 | examples/s:  14.5 | loss: 0.08595 | time elapsed: 02h05m41s | time left: 13h38m21s
epoch   2 | batch   2300 | examples/s:  14.5 | loss: 0.08588 | time elapsed: 02h07m04s | time left: 13h36m38s
epoch   2 | batch   2400 | examples/s:  14.5 | loss: 0.08592 | time elapsed: 02h08m27s | time left: 13h34m56s
epoch   2 | batch   2500 | examples/s:  14.5 | loss: 0.08587 | time elapsed: 02h09m50s | time left: 13h33m15s
epoch   2 | batch   2600 | examples/s:  14.5 | loss: 0.08582 | time elapsed: 02h11m12s | time left: 13h31m34s
epoch   2 | batch   2700 | examples/s:  14.5 | loss: 0.08580 | time elapsed: 02h12m35s | time left: 13h29m52s
epoch   2 | batch   2800 | examples/s:  14.5 | loss: 0.08575 | time elapsed: 02h13m57s | time left: 13h28m11s
epoch   2 | batch   2900 | examples/s:  14.5 | loss: 0.08575 | time elapsed: 02h15m20s | time left: 13h26m29s
epoch   2 | batch   3000 | examples/s:  14.5 | loss: 0.08571 | time elapsed: 02h16m42s | time left: 13h24m48s
epoch   2 | batch   3100 | examples/s:  14.5 | loss: 0.08565 | time elapsed: 02h18m05s | time left: 13h23m08s
epoch   2 | batch   3200 | examples/s:  14.5 | loss: 0.08563 | time elapsed: 02h19m27s | time left: 13h21m28s
epoch   2 | batch   3300 | examples/s:  14.6 | loss: 0.08561 | time elapsed: 02h20m50s | time left: 13h19m46s
Validating
In epoch 2, the validation loss is 0.08415935502347091.
Training
epoch   3 | batch    100 | examples/s:  13.5 | loss: 0.08424 | time elapsed: 02h24m22s | time left: 13h28m40s
epoch   3 | batch    200 | examples/s:  14.6 | loss: 0.08393 | time elapsed: 02h25m45s | time left: 13h26m52s
epoch   3 | batch    300 | examples/s:  14.6 | loss: 0.08388 | time elapsed: 02h27m07s | time left: 13h25m03s
epoch   3 | batch    400 | examples/s:  14.6 | loss: 0.08386 | time elapsed: 02h28m29s | time left: 13h23m16s
epoch   3 | batch    500 | examples/s:  14.6 | loss: 0.08384 | time elapsed: 02h29m51s | time left: 13h21m30s
epoch   3 | batch    600 | examples/s:  14.6 | loss: 0.08390 | time elapsed: 02h31m13s | time left: 13h19m44s
epoch   3 | batch    700 | examples/s:  14.6 | loss: 0.08382 | time elapsed: 02h32m36s | time left: 13h17m58s
epoch   3 | batch    800 | examples/s:  14.6 | loss: 0.08388 | time elapsed: 02h33m58s | time left: 13h16m14s
epoch   3 | batch    900 | examples/s:  14.6 | loss: 0.08375 | time elapsed: 02h35m20s | time left: 13h14m30s
epoch   3 | batch   1000 | examples/s:  14.6 | loss: 0.08376 | time elapsed: 02h36m43s | time left: 13h12m46s
epoch   3 | batch   1100 | examples/s:  14.6 | loss: 0.08371 | time elapsed: 02h38m05s | time left: 13h11m02s
epoch   3 | batch   1200 | examples/s:  14.6 | loss: 0.08365 | time elapsed: 02h39m28s | time left: 13h09m19s
epoch   3 | batch   1300 | examples/s:  14.6 | loss: 0.08366 | time elapsed: 02h40m50s | time left: 13h07m37s
epoch   3 | batch   1400 | examples/s:  14.6 | loss: 0.08366 | time elapsed: 02h42m12s | time left: 13h05m55s
epoch   3 | batch   1500 | examples/s:  14.5 | loss: 0.08358 | time elapsed: 02h43m35s | time left: 13h04m14s
epoch   3 | batch   1600 | examples/s:  14.5 | loss: 0.08355 | time elapsed: 02h44m58s | time left: 13h02m34s
epoch   3 | batch   1700 | examples/s:  14.5 | loss: 0.08340 | time elapsed: 02h46m21s | time left: 13h00m55s
epoch   3 | batch   1800 | examples/s:  14.5 | loss: 0.08331 | time elapsed: 02h47m44s | time left: 12h59m16s
epoch   3 | batch   1900 | examples/s:  14.5 | loss: 0.08332 | time elapsed: 02h49m06s | time left: 12h57m38s
epoch   3 | batch   2000 | examples/s:  14.5 | loss: 0.08326 | time elapsed: 02h50m29s | time left: 12h55m59s
epoch   3 | batch   2100 | examples/s:  14.5 | loss: 0.08322 | time elapsed: 02h51m52s | time left: 12h54m20s
epoch   3 | batch   2200 | examples/s:  14.5 | loss: 0.08321 | time elapsed: 02h53m14s | time left: 12h52m41s
epoch   3 | batch   2300 | examples/s:  14.5 | loss: 0.08311 | time elapsed: 02h54m37s | time left: 12h51m03s
epoch   3 | batch   2400 | examples/s:  14.5 | loss: 0.08307 | time elapsed: 02h56m00s | time left: 12h49m26s
epoch   3 | batch   2500 | examples/s:  14.5 | loss: 0.08304 | time elapsed: 02h57m23s | time left: 12h47m48s
epoch   3 | batch   2600 | examples/s:  14.5 | loss: 0.08303 | time elapsed: 02h58m45s | time left: 12h46m11s
epoch   3 | batch   2700 | examples/s:  14.5 | loss: 0.08292 | time elapsed: 03h00m08s | time left: 12h44m34s
epoch   3 | batch   2800 | examples/s:  14.5 | loss: 0.08291 | time elapsed: 03h01m31s | time left: 12h42m58s
epoch   3 | batch   2900 | examples/s:  14.5 | loss: 0.08290 | time elapsed: 03h02m54s | time left: 12h41m21s
epoch   3 | batch   3000 | examples/s:  14.5 | loss: 0.08283 | time elapsed: 03h04m17s | time left: 12h39m46s
epoch   3 | batch   3100 | examples/s:  14.5 | loss: 0.08281 | time elapsed: 03h05m39s | time left: 12h38m09s
epoch   3 | batch   3200 | examples/s:  14.5 | loss: 0.08274 | time elapsed: 03h07m02s | time left: 12h36m33s
epoch   3 | batch   3300 | examples/s:  14.5 | loss: 0.08270 | time elapsed: 03h08m25s | time left: 12h34m56s
Validating
In epoch 3, the validation loss is 0.08109790208223074.
Training
epoch   4 | batch    100 | examples/s:  13.6 | loss: 0.08108 | time elapsed: 03h11m55s | time left: 12h40m35s
epoch   4 | batch    200 | examples/s:  14.6 | loss: 0.08117 | time elapsed: 03h13m17s | time left: 12h38m54s
epoch   4 | batch    300 | examples/s:  14.6 | loss: 0.08136 | time elapsed: 03h14m40s | time left: 12h37m13s
epoch   4 | batch    400 | examples/s:  14.6 | loss: 0.08177 | time elapsed: 03h16m02s | time left: 12h35m32s
epoch   4 | batch    500 | examples/s:  14.6 | loss: 0.08186 | time elapsed: 03h17m24s | time left: 12h33m51s
epoch   4 | batch    600 | examples/s:  14.6 | loss: 0.08176 | time elapsed: 03h18m46s | time left: 12h32m11s
epoch   4 | batch    700 | examples/s:  14.4 | loss: 0.08177 | time elapsed: 03h20m09s | time left: 12h30m34s
epoch   4 | batch    800 | examples/s:  14.4 | loss: 0.08157 | time elapsed: 03h21m33s | time left: 12h28m58s
epoch   4 | batch    900 | examples/s:  14.5 | loss: 0.08143 | time elapsed: 03h22m56s | time left: 12h27m21s
epoch   4 | batch   1000 | examples/s:  14.5 | loss: 0.08121 | time elapsed: 03h24m18s | time left: 12h25m43s
epoch   4 | batch   1100 | examples/s:  14.5 | loss: 0.08116 | time elapsed: 03h25m41s | time left: 12h24m06s
epoch   4 | batch   1200 | examples/s:  14.5 | loss: 0.08120 | time elapsed: 03h27m04s | time left: 12h22m30s
epoch   4 | batch   1300 | examples/s:  14.5 | loss: 0.08120 | time elapsed: 03h28m27s | time left: 12h20m53s
epoch   4 | batch   1400 | examples/s:  14.5 | loss: 0.08124 | time elapsed: 03h29m50s | time left: 12h19m17s
epoch   4 | batch   1500 | examples/s:  14.5 | loss: 0.08133 | time elapsed: 03h31m13s | time left: 12h17m41s
epoch   4 | batch   1600 | examples/s:  14.4 | loss: 0.08135 | time elapsed: 03h32m36s | time left: 12h16m06s
epoch   4 | batch   1700 | examples/s:  14.4 | loss: 0.08125 | time elapsed: 03h33m59s | time left: 12h14m32s
epoch   4 | batch   1800 | examples/s:  14.4 | loss: 0.08118 | time elapsed: 03h35m23s | time left: 12h12m57s
epoch   4 | batch   1900 | examples/s:  14.4 | loss: 0.08109 | time elapsed: 03h36m46s | time left: 12h11m22s
epoch   4 | batch   2000 | examples/s:  14.4 | loss: 0.08111 | time elapsed: 03h38m09s | time left: 12h09m48s
epoch   4 | batch   2100 | examples/s:  14.4 | loss: 0.08109 | time elapsed: 03h39m32s | time left: 12h08m14s
epoch   4 | batch   2200 | examples/s:  14.4 | loss: 0.08105 | time elapsed: 03h40m55s | time left: 12h06m39s
epoch   4 | batch   2300 | examples/s:  14.5 | loss: 0.08103 | time elapsed: 03h42m18s | time left: 12h05m05s
epoch   4 | batch   2400 | examples/s:  14.5 | loss: 0.08099 | time elapsed: 03h43m41s | time left: 12h03m30s
epoch   4 | batch   2500 | examples/s:  14.5 | loss: 0.08097 | time elapsed: 03h45m04s | time left: 12h01m56s
epoch   4 | batch   2600 | examples/s:  14.5 | loss: 0.08093 | time elapsed: 03h46m27s | time left: 12h00m21s
epoch   4 | batch   2700 | examples/s:  14.5 | loss: 0.08093 | time elapsed: 03h47m50s | time left: 11h58m47s
epoch   4 | batch   2800 | examples/s:  14.5 | loss: 0.08091 | time elapsed: 03h49m13s | time left: 11h57m13s
epoch   4 | batch   2900 | examples/s:  14.5 | loss: 0.08086 | time elapsed: 03h50m36s | time left: 11h55m39s
epoch   4 | batch   3000 | examples/s:  14.5 | loss: 0.08079 | time elapsed: 03h51m58s | time left: 11h54m05s
epoch   4 | batch   3100 | examples/s:  14.5 | loss: 0.08079 | time elapsed: 03h53m21s | time left: 11h52m31s
epoch   4 | batch   3200 | examples/s:  14.5 | loss: 0.08076 | time elapsed: 03h54m44s | time left: 11h50m57s
epoch   4 | batch   3300 | examples/s:  14.6 | loss: 0.08072 | time elapsed: 03h56m06s | time left: 11h49m22s
Validating
In epoch 4, the validation loss is 0.07937674329656622.
Training
epoch   5 | batch    100 | examples/s:  13.6 | loss: 0.07861 | time elapsed: 03h59m38s | time left: 11h53m13s
epoch   5 | batch    200 | examples/s:  14.5 | loss: 0.07907 | time elapsed: 04h01m01s | time left: 11h51m37s
epoch   5 | batch    300 | examples/s:  14.5 | loss: 0.07939 | time elapsed: 04h02m24s | time left: 11h50m01s
epoch   5 | batch    400 | examples/s:  14.5 | loss: 0.07947 | time elapsed: 04h03m46s | time left: 11h48m26s
epoch   5 | batch    500 | examples/s:  14.5 | loss: 0.07966 | time elapsed: 04h05m09s | time left: 11h46m50s
epoch   5 | batch    600 | examples/s:  14.5 | loss: 0.07951 | time elapsed: 04h06m32s | time left: 11h45m14s
epoch   5 | batch    700 | examples/s:  14.5 | loss: 0.07952 | time elapsed: 04h07m55s | time left: 11h43m39s
epoch   5 | batch    800 | examples/s:  14.5 | loss: 0.07954 | time elapsed: 04h09m17s | time left: 11h42m03s
epoch   5 | batch    900 | examples/s:  14.6 | loss: 0.07952 | time elapsed: 04h10m40s | time left: 11h40m26s
epoch   5 | batch   1000 | examples/s:  14.5 | loss: 0.07951 | time elapsed: 04h12m02s | time left: 11h38m51s
epoch   5 | batch   1100 | examples/s:  14.5 | loss: 0.07948 | time elapsed: 04h13m25s | time left: 11h37m15s
epoch   5 | batch   1200 | examples/s:  14.5 | loss: 0.07945 | time elapsed: 04h14m47s | time left: 11h35m40s
epoch   5 | batch   1300 | examples/s:  14.5 | loss: 0.07941 | time elapsed: 04h16m10s | time left: 11h34m05s
epoch   5 | batch   1400 | examples/s:  14.6 | loss: 0.07936 | time elapsed: 04h17m32s | time left: 11h32m30s
epoch   5 | batch   1500 | examples/s:  14.5 | loss: 0.07944 | time elapsed: 04h18m55s | time left: 11h30m55s
epoch   5 | batch   1600 | examples/s:  14.5 | loss: 0.07941 | time elapsed: 04h20m18s | time left: 11h29m21s
epoch   5 | batch   1700 | examples/s:  14.5 | loss: 0.07940 | time elapsed: 04h21m40s | time left: 11h27m46s
epoch   5 | batch   1800 | examples/s:  14.5 | loss: 0.07941 | time elapsed: 04h23m03s | time left: 11h26m13s
epoch   5 | batch   1900 | examples/s:  14.5 | loss: 0.07937 | time elapsed: 04h24m26s | time left: 11h24m39s
epoch   5 | batch   2000 | examples/s:  14.5 | loss: 0.07938 | time elapsed: 04h25m49s | time left: 11h23m05s
epoch   5 | batch   2100 | examples/s:  14.5 | loss: 0.07940 | time elapsed: 04h27m12s | time left: 11h21m31s
epoch   5 | batch   2200 | examples/s:  14.5 | loss: 0.07943 | time elapsed: 04h28m34s | time left: 11h19m58s
epoch   5 | batch   2300 | examples/s:  14.5 | loss: 0.07945 | time elapsed: 04h29m57s | time left: 11h18m24s
epoch   5 | batch   2400 | examples/s:  14.5 | loss: 0.07939 | time elapsed: 04h31m20s | time left: 11h16m51s
epoch   5 | batch   2500 | examples/s:  14.6 | loss: 0.07938 | time elapsed: 04h32m42s | time left: 11h15m16s
epoch   5 | batch   2600 | examples/s:  14.5 | loss: 0.07935 | time elapsed: 04h34m05s | time left: 11h13m43s
epoch   5 | batch   2700 | examples/s:  14.5 | loss: 0.07935 | time elapsed: 04h35m27s | time left: 11h12m10s
epoch   5 | batch   2800 | examples/s:  14.5 | loss: 0.07937 | time elapsed: 04h36m50s | time left: 11h10m36s
epoch   5 | batch   2900 | examples/s:  14.5 | loss: 0.07934 | time elapsed: 04h38m12s | time left: 11h09m03s
epoch   5 | batch   3000 | examples/s:  14.5 | loss: 0.07930 | time elapsed: 04h39m35s | time left: 11h07m30s
epoch   5 | batch   3100 | examples/s:  14.5 | loss: 0.07926 | time elapsed: 04h40m58s | time left: 11h05m57s
epoch   5 | batch   3200 | examples/s:  14.5 | loss: 0.07926 | time elapsed: 04h42m20s | time left: 11h04m24s
epoch   5 | batch   3300 | examples/s:  14.5 | loss: 0.07925 | time elapsed: 04h43m43s | time left: 11h02m51s
Validating
In epoch 5, the validation loss is 0.07879580171657322.
Training
epoch   6 | batch    100 | examples/s:  13.6 | loss: 0.07959 | time elapsed: 04h47m16s | time left: 11h05m33s
epoch   6 | batch    200 | examples/s:  14.5 | loss: 0.07903 | time elapsed: 04h48m38s | time left: 11h03m59s
epoch   6 | batch    300 | examples/s:  14.5 | loss: 0.07886 | time elapsed: 04h50m01s | time left: 11h02m24s
epoch   6 | batch    400 | examples/s:  14.5 | loss: 0.07892 | time elapsed: 04h51m24s | time left: 11h00m50s
epoch   6 | batch    500 | examples/s:  14.5 | loss: 0.07852 | time elapsed: 04h52m46s | time left: 10h59m16s
epoch   6 | batch    600 | examples/s:  14.5 | loss: 0.07858 | time elapsed: 04h54m09s | time left: 10h57m43s
epoch   6 | batch    700 | examples/s:  14.5 | loss: 0.07844 | time elapsed: 04h55m32s | time left: 10h56m10s
epoch   6 | batch    800 | examples/s:  14.5 | loss: 0.07851 | time elapsed: 04h56m55s | time left: 10h54m36s
epoch   6 | batch    900 | examples/s:  14.5 | loss: 0.07845 | time elapsed: 04h58m17s | time left: 10h53m02s
